cod_cli;dat_ag;num_vac_ag;tipo_vac_ag;obs_ag;ok_ag;indice
1017;2020-10-17;"1         ";FELINA RONVAC;SEM OBSERVAÇÕES;"S         ";6
2017;2020-10-28;"1         ";V8 - IMPORTADA;SEM OBSERVAÇÕES;"S         ";7
2018;2020-10-28;"2         ";V8 - IMPORTADA;SEM OBSERVAÇÕES;"S         ";70
2019;2020-10-29;"3         ";V12 - NACIONAL;LEVAR CARTEIRINHA;"S         ";190
2021;2020-11-04;"1         ";RAIVA - NACIONAL;SEM OBSERVAÇÕES;"S         ";5
2016;2020-11-16;"1         ";V8 - IMPORTADA;SEM OBSERVAÇÕES;"S         ";4
2019;2020-11-19;"3         ";V12 - NACIONAL;SEM OBSERVAÇÕES;"S         ";2
2017;2020-11-24;"1         ";V8 - IMPORTADA;SEM OBSERVAÇÕES;"S         ";1
2018;2020-11-25;"1         ";V8 - IMPORTADA;SEM OBSERVAÇÕES;"S         ";11
2027;2020-11-30;"1         ";ANTICION;SEM OBSERVAÇÕES;"S         ";199
2022;2020-12-04;"2         ";RAIVA - NACIONAL;LEVAR CARTEIRINHA;"S         ";8
2016;2020-12-07;"1         ";RAIVA - IMPORTADA;SEM OBSERVAÇÕES;"S         ";9
2030;2020-12-07;"2         ";V8 - IMPORTADA;REFORÇO ANUAL;"S         ";139
2031;2020-12-09;"2         ";RAIVA - NACIONAL;SEM OBSERVAÇÕES;"S         ";13
2033;2020-12-10;"2         ";V8 - IMPORTADA;LEVAR CARTEIRINHA;"S         ";14
2025;2020-12-12;"1         ";V8 - IMPORTADA;SEM OBSERVAÇÕES;"S         ";10
2030;2020-12-14;"2         ";RAIVA - IMPORTADA;REFORÇO ANUAL;"S         ";141
2017;2020-12-16;"1         ";V8 - IMPORTADA;SEM OBSERVAÇÕES;"S         ";191
2034;2020-12-17;"1         ";V8 - IMPORTADA;SEM OBSERVAÇÕES;"S         ";16
2019;2020-12-19;"3         ";V12 - NACIONAL;SEM OBSERVAÇÕES;"S         ";200
2035;2020-12-22;"2         ";RAIVA - IMPORTADA;SEM OBSERVAÇÕES;"S         ";68
2035;2020-12-22;"1         ";V8 - IMPORTADA;SEM OBSERVAÇÕES;"S         ";69
2036;2020-12-22;"3         ";V8 - IMPORTADA;SEM OBSERVAÇÕES;"S         ";71
2036;2020-12-26;"3         ";RAIVA - IMPORTADA;SEM OBSERVAÇÕES;"S         ";18
2037;2021-01-06;"3         ";V12 - NACIONAL;SEM OBSERVAÇÕES;"S         ";21
2034;2021-01-07;"1         ";V8 - IMPORTADA;LEVAR CARTEIRINHA (COLAR 1 DOSE);"S         ";17
2019;2021-01-09;"3         ";V12 - NACIONAL;SEM OBSERVAÇÕES;"NF        ";204
